Mesure (Unité de mesure combinée)_x,Domaine,Année,Nombre d'emplois,Mesure (Unité de mesure combinée)_y,Paramètre,Valeur
Emploi dans les activités de l'économie verte,R&D,2008,20594.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Services,77.67
Emploi dans les activités de l'économie verte,Serv gaux,2008,44212.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),"Agriculture, sylviculture et pêch",1.58
Emploi dans les activités de l'économie verte,Serv gaux,2008,44212.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Industrie (sauf construction),20.74
Emploi dans les activités de l'économie verte,Serv gaux,2008,44212.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Services,77.67
Emploi dans les activités de l'économie verte,Activités périphériques,2008,373205.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),"Agriculture, sylviculture et pêch",1.58
Emploi dans les activités de l'économie verte,Activités périphériques,2008,373205.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Industrie (sauf construction),20.74
Emploi dans les activités de l'économie verte,Activités périphériques,2008,373205.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Services,77.67
Emploi dans les activités de l'économie verte,Gestion des espaces verts,2008,22884.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),"Agriculture, sylviculture et pêch",1.58
Emploi dans les activités de l'économie verte,Gestion des espaces verts,2008,22884.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Industrie (sauf construction),20.74
Emploi dans les activités de l'économie verte,Gestion des espaces verts,2008,22884.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Services,77.67
Emploi dans les activités de l'économie verte,Transports longue distance,2008,260460.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),"Agriculture, sylviculture et pêch",1.58
Emploi dans les activités de l'économie verte,Transports longue distance,2008,260460.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Industrie (sauf construction),20.74
Emploi dans les activités de l'économie verte,Transports longue distance,2008,260460.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Services,77.67
Emploi dans les activités de l'économie verte,Transports urbains et suburbains,2008,89862.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),"Agriculture, sylviculture et pêch",1.58
Emploi dans les activités de l'économie verte,Transports urbains et suburbains,2008,89862.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Industrie (sauf construction),20.74
Emploi dans les activités de l'économie verte,Transports urbains et suburbains,2008,89862.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Services,77.67
Emploi dans les éco-activités ,Protection des sols et des masses d'eau,2008,38919.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),"Agriculture, sylviculture et pêch",1.58
Emploi dans les éco-activités ,Protection des sols et des masses d'eau,2008,38919.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Industrie (sauf construction),20.74
Emploi dans les éco-activités ,Protection des sols et des masses d'eau,2008,38919.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Services,77.67
Emploi dans les éco-activités ,Maîtrise de l'énergie,2008,84880.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),"Agriculture, sylviculture et pêch",1.58
Emploi dans les éco-activités ,Maîtrise de l'énergie,2008,84880.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Industrie (sauf construction),20.74
Emploi dans les éco-activités ,Maîtrise de l'énergie,2008,84880.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Services,77.67
Emploi dans les éco-activités ,Energies renouvelables,2008,56744.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),"Agriculture, sylviculture et pêch",1.58
Emploi dans les éco-activités ,Energies renouvelables,2008,56744.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Industrie (sauf construction),20.74
Emploi dans les éco-activités ,Energies renouvelables,2008,56744.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Services,77.67
Emploi dans les éco-activités ,Collecte et traitement des déchets,2008,85417.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),"Agriculture, sylviculture et pêch",1.58
Emploi dans les éco-activités ,Collecte et traitement des déchets,2008,85417.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Industrie (sauf construction),20.74
Emploi dans les éco-activités ,Collecte et traitement des déchets,2008,85417.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Services,77.67
Emploi dans les éco-activités ,Gestion des eaux usées,2008,59768.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),"Agriculture, sylviculture et pêch",1.58
Emploi dans les éco-activités ,Gestion des eaux usées,2008,59768.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Industrie (sauf construction),20.74
Emploi dans les éco-activités ,Gestion des eaux usées,2008,59768.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Services,77.67
Emploi dans les éco-activités ,Administration générale relative à l'environnement,2008,44212.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),"Agriculture, sylviculture et pêch",1.58
Emploi dans les éco-activités ,Administration générale relative à l'environnement,2008,44212.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Industrie (sauf construction),20.74
Emploi dans les éco-activités ,Administration générale relative à l'environnement,2008,44212.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Services,77.67
Emploi dans les éco-activités ,Récupération de matériaux de recyclage,2008,24950.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),"Agriculture, sylviculture et pêch",1.58
Emploi dans les éco-activités ,Récupération de matériaux de recyclage,2008,24950.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Industrie (sauf construction),20.74
Emploi dans les éco-activités ,Récupération de matériaux de recyclage,2008,24950.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Services,77.67
Emploi dans les éco-activités ,Protection de la biodiversité et des paysages,2008,22635.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),"Agriculture, sylviculture et pêch",1.58
Emploi dans les éco-activités ,Protection de la biodiversité et des paysages,2008,22635.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Industrie (sauf construction),20.74
Emploi dans les éco-activités ,Protection de la biodiversité et des paysages,2008,22635.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Services,77.67
Emploi dans les éco-activités ,R & D environnementale,2008,20594.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),"Agriculture, sylviculture et pêch",1.58
Emploi dans les éco-activités ,R & D environnementale,2008,20594.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Industrie (sauf construction),20.74
Emploi dans les éco-activités ,R & D environnementale,2008,20594.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Services,77.67
Emploi dans les éco-activités ,Ingénierie environnementale,2008,10705.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),"Agriculture, sylviculture et pêch",1.58
Emploi dans les éco-activités ,Ingénierie environnementale,2008,10705.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Industrie (sauf construction),20.74
Emploi dans les éco-activités ,Ingénierie environnementale,2008,10705.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Services,77.67
Emploi dans les éco-activités ,Protection de l'air extérieur,2008,8372.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),"Agriculture, sylviculture et pêch",1.58
Emploi dans les éco-activités ,Protection de l'air extérieur,2008,8372.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Industrie (sauf construction),20.74
Emploi dans les éco-activités ,Protection de l'air extérieur,2008,8372.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Services,77.67
Emploi dans les éco-activités ,Gestion durable de la forêt,2008,11711.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),"Agriculture, sylviculture et pêch",1.58
Emploi dans les éco-activités ,Gestion durable de la forêt,2008,11711.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Industrie (sauf construction),20.74
Emploi dans les éco-activités ,Gestion durable de la forêt,2008,11711.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Services,77.67
Emploi dans les éco-activités ,Lutte contre le bruit,2008,6873.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),"Agriculture, sylviculture et pêch",1.58
Emploi dans les éco-activités ,Lutte contre le bruit,2008,6873.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Industrie (sauf construction),20.74
Emploi dans les éco-activités ,Lutte contre le bruit,2008,6873.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Services,77.67
Emploi dans les éco-activités ,Gestion des ressources en eau,2008,3953.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),"Agriculture, sylviculture et pêch",1.58
Emploi dans les éco-activités ,Gestion des ressources en eau,2008,3953.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Industrie (sauf construction),20.74
Emploi dans les éco-activités ,Gestion des ressources en eau,2008,3953.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Services,77.67
Emploi dans les éco-activités ,Protection contre les radiations,2008,3546.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),"Agriculture, sylviculture et pêch",1.58
Emploi dans les éco-activités ,Protection contre les radiations,2008,3546.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Industrie (sauf construction),20.74
Emploi dans les éco-activités ,Protection contre les radiations,2008,3546.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Services,77.67
Valeur ajoutée (Pourcentage de la valeur ajoutée brute),"Agriculture, sylviculture et pêch",2008,1.58,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),"Agriculture, sylviculture et pêch",1.58
Valeur ajoutée (Pourcentage de la valeur ajoutée brute),"Agriculture, sylviculture et pêch",2008,1.58,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Industrie (sauf construction),20.74
Valeur ajoutée (Pourcentage de la valeur ajoutée brute),"Agriculture, sylviculture et pêch",2008,1.58,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Services,77.67
Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Industrie (sauf construction),2008,20.74,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),"Agriculture, sylviculture et pêch",1.58
Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Industrie (sauf construction),2008,20.74,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Industrie (sauf construction),20.74
Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Industrie (sauf construction),2008,20.74,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Services,77.67
Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Services,2008,77.67,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),"Agriculture, sylviculture et pêch",1.58
Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Services,2008,77.67,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Industrie (sauf construction),20.74
Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Services,2008,77.67,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Services,77.67
Emploi dans les activités de l'économie verte,Eco-activités,2009,515193.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),"Agriculture, sylviculture et pêch",1.37
Emploi dans les activités de l'économie verte,Eco-activités,2009,515193.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Industrie (sauf construction),20.01
Emploi dans les activités de l'économie verte,Eco-activités,2009,515193.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Services,78.62
Emploi dans les activités de l'économie verte,Protection de l'environnement,2009,237707.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),"Agriculture, sylviculture et pêch",1.37
Emploi dans les activités de l'économie verte,Protection de l'environnement,2009,237707.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Industrie (sauf construction),20.01
Emploi dans les activités de l'économie verte,Protection de l'environnement,2009,237707.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Services,78.62
Emploi dans les activités de l'économie verte,Air,2009,7188.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),"Agriculture, sylviculture et pêch",1.37
Emploi dans les activités de l'économie verte,Air,2009,7188.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Industrie (sauf construction),20.01
Emploi dans les activités de l'économie verte,Air,2009,7188.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Services,78.62
Emploi dans les activités de l'économie verte,Eaux_usées,2009,60562.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),"Agriculture, sylviculture et pêch",1.37
Emploi dans les activités de l'économie verte,Eaux_usées,2009,60562.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Industrie (sauf construction),20.01
Emploi dans les activités de l'économie verte,Eaux_usées,2009,60562.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Services,78.62
Emploi dans les activités de l'économie verte,Déchets,2009,88199.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),"Agriculture, sylviculture et pêch",1.37
Emploi dans les activités de l'économie verte,Déchets,2009,88199.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Industrie (sauf construction),20.01
Emploi dans les activités de l'économie verte,Déchets,2009,88199.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Services,78.62
Emploi dans les activités de l'économie verte,Déchets_radio,2009,3756.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),"Agriculture, sylviculture et pêch",1.37
Emploi dans les activités de l'économie verte,Déchets_radio,2009,3756.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Industrie (sauf construction),20.01
Emploi dans les activités de l'économie verte,Déchets_radio,2009,3756.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Services,78.62
Emploi dans les activités de l'économie verte,Sols et masses d'eau,2009,47294.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),"Agriculture, sylviculture et pêch",1.37
Emploi dans les activités de l'économie verte,Sols et masses d'eau,2009,47294.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Industrie (sauf construction),20.01
Emploi dans les activités de l'économie verte,Sols et masses d'eau,2009,47294.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Services,78.62
Emploi dans les activités de l'économie verte,Bruit,2009,6614.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),"Agriculture, sylviculture et pêch",1.37
Emploi dans les activités de l'économie verte,Bruit,2009,6614.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Industrie (sauf construction),20.01
Emploi dans les activités de l'économie verte,Bruit,2009,6614.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Services,78.62
Emploi dans les activités de l'économie verte,"Nature, biodiversité, paysages",2009,24095.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),"Agriculture, sylviculture et pêch",1.37
Emploi dans les activités de l'économie verte,"Nature, biodiversité, paysages",2009,24095.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Industrie (sauf construction),20.01
Emploi dans les activités de l'économie verte,"Nature, biodiversité, paysages",2009,24095.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Services,78.62
Emploi dans les activités de l'économie verte,Gestion des ressources naturelles,2009,200281.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),"Agriculture, sylviculture et pêch",1.37
Emploi dans les activités de l'économie verte,Gestion des ressources naturelles,2009,200281.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Industrie (sauf construction),20.01
Emploi dans les activités de l'économie verte,Gestion des ressources naturelles,2009,200281.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Services,78.62
Emploi dans les activités de l'économie verte,gestion_eau,2009,4416.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),"Agriculture, sylviculture et pêch",1.37
Emploi dans les activités de l'économie verte,gestion_eau,2009,4416.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Industrie (sauf construction),20.01
Emploi dans les activités de l'économie verte,gestion_eau,2009,4416.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Services,78.62
Emploi dans les activités de l'économie verte,gestion_forêt,2009,12282.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),"Agriculture, sylviculture et pêch",1.37
Emploi dans les activités de l'économie verte,gestion_forêt,2009,12282.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Industrie (sauf construction),20.01
Emploi dans les activités de l'économie verte,gestion_forêt,2009,12282.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Services,78.62
Emploi dans les activités de l'économie verte,recup,2009,25129.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),"Agriculture, sylviculture et pêch",1.37
Emploi dans les activités de l'économie verte,recup,2009,25129.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Industrie (sauf construction),20.01
Emploi dans les activités de l'économie verte,recup,2009,25129.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Services,78.62
Emploi dans les activités de l'économie verte,EnR,2009,60681.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),"Agriculture, sylviculture et pêch",1.37
Emploi dans les activités de l'économie verte,EnR,2009,60681.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Industrie (sauf construction),20.01
Emploi dans les activités de l'économie verte,EnR,2009,60681.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Services,78.62
Emploi dans les activités de l'économie verte,Maîtrise énergie,2009,97773.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),"Agriculture, sylviculture et pêch",1.37
Emploi dans les activités de l'économie verte,Maîtrise énergie,2009,97773.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Industrie (sauf construction),20.01
Emploi dans les activités de l'économie verte,Maîtrise énergie,2009,97773.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Services,78.62
Emploi dans les activités de l'économie verte,Activités transversales,2009,77204.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),"Agriculture, sylviculture et pêch",1.37
Emploi dans les activités de l'économie verte,Activités transversales,2009,77204.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Industrie (sauf construction),20.01
Emploi dans les activités de l'économie verte,Activités transversales,2009,77204.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Services,78.62
Emploi dans les activités de l'économie verte,Ingénierie,2009,11244.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),"Agriculture, sylviculture et pêch",1.37
Emploi dans les activités de l'économie verte,Ingénierie,2009,11244.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Industrie (sauf construction),20.01
Emploi dans les activités de l'économie verte,Ingénierie,2009,11244.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Services,78.62
Emploi dans les activités de l'économie verte,R&D,2009,23668.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),"Agriculture, sylviculture et pêch",1.37
Emploi dans les activités de l'économie verte,R&D,2009,23668.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Industrie (sauf construction),20.01
Emploi dans les activités de l'économie verte,R&D,2009,23668.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Services,78.62
Emploi dans les activités de l'économie verte,Serv gaux,2009,42292.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),"Agriculture, sylviculture et pêch",1.37
Emploi dans les activités de l'économie verte,Serv gaux,2009,42292.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Industrie (sauf construction),20.01
